Time(Minutes),EntityID,ObjectName,ProcessID,StepName,Action
0,--,--,--,--,System initialization completed.
0,--,--,--,--,Created object 'MyPicker1[1]'.
0,MyPicker1[1],MyPicker1[1],0.OnCreated,[Begin],Process 'MyPicker1[1].OnCreated' execution started.
0,--,--,--,--,Ignoring attempt to execute disabled process 'MyPicker1[1].OnNewSeizeRequest'.
0,MyPicker1[1],MyPicker1[1],0.OnCreated,[Seize] Vehicle,Object 'MyPicker1[1]' checking availability to seize '1' resource(s) of resource type '[ParentObject] MyPicker1[1]'.
0,MyPicker1[1],MyPicker1[1],0.OnCreated,[Seize] Vehicle,Object 'MyPicker1[1]' checking availability to seize '1' capacity unit(s) of resource 'MyPicker1[1]’.
0,MyPicker1[1],MyPicker1[1],0.OnCreated,[Seize] Vehicle,Object 'MyPicker1[1]' found '1' currently available resource(s) of resource type '[ParentObject] MyPicker1[1]'.
0,MyPicker1[1],MyPicker1[1],0.OnCreated,[Seize] Vehicle,Object 'MyPicker1[1]' seized '1' capacity unit(s) of resource 'MyPicker1[1]'.
0,MyPicker1[1],MyPicker1[1],1.OnCapacityAllocated,[Begin],Process 'MyPicker1[1].OnCapacityAllocated' execution started.
0,MyPicker1[1],MyPicker1[1],1.OnCapacityAllocated,[Assign] ResourceState,Assigning state variable 'MyPicker1[1].ResourceState' the value '7'. Previous value was '1'.
0,MyPicker1[1],MyPicker1[1],1.OnCapacityAllocated,[Assign] OnCapacityAllocatedAssignments,Assigning state variable 'MyPicker1[1].OnEvaluatingRiderReservation.Enabled' the value '1'. Previous value was '1'.
0,MyPicker1[1],MyPicker1[1],1.OnCapacityAllocated,[Assign] OnCapacityAllocatedAssignments,Assigning state variable 'MyPicker1[1].OnEvaluatingRiderReservation.ReturnValue' the value '1'. Previous value was '1'.
0,MyPicker1[1],MyPicker1[1],1.OnCapacityAllocated,[Assign] OnCapacityAllocatedAssignments,Assigning state variable 'MyPicker1[1].OnEvaluatingSeizeRequest.Enabled' the value '0'. Previous value was '1'.
0,MyPicker1[1],MyPicker1[1],1.OnCapacityAllocated,[Assign] OnCapacityAllocatedAssignments,Assigning state variable 'MyPicker1[1].OnEvaluatingSeizeRequest.ReturnValue' the value '0'. Previous value was '1'.
0,MyPicker1[1],MyPicker1[1],1.OnCapacityAllocated,[Assign] OnCapacityAllocatedAssignments,Assigning state variable 'MyPicker1[1].OnEvaluatingRiderAtPickup.Enabled' the value '1'. Previous value was '1'.
0,MyPicker1[1],MyPicker1[1],1.OnCapacityAllocated,[Assign] OnCapacityAllocatedAssignments,Assigning state variable 'MyPicker1[1].OnEvaluatingRiderAtPickup.ReturnValue' the value '1'. Previous value was '1'.
0,MyPicker1[1],MyPicker1[1],1.OnCapacityAllocated,[Fire] AllocatedEvent,Firing event 'MyPicker1[1].Allocated'.
