Time(Hours),EntityID,ObjectName,ProcessID,StepName,Action
0,--,--,--,--,System initialization completed.
0,--,--,--,--,Time until next event of timer 'Source1.EntityArrivals' is '10' Hours.
0,--,--,--,--,Created object 'MyVehicle1[1]'.
0,MyVehicle1[1],MyVehicle1[1],0.OnCreated,[Begin],Process 'MyVehicle1[1].OnCreated' execution started.
0,MyVehicle1[1],MyVehicle1[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MyVehicle1[1].OnEvaluatingRiderReservation.Enabled' the value '1'. Previous value was '1'.
0,MyVehicle1[1],MyVehicle1[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MyVehicle1[1].OnEvaluatingRiderReservation.ReturnValue' the value '1'. Previous value was '1'.
0,MyVehicle1[1],MyVehicle1[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MyVehicle1[1].OnEvaluatingSeizeRequest.Enabled' the value '1'. Previous value was '1'.
0,MyVehicle1[1],MyVehicle1[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MyVehicle1[1].OnEvaluatingSeizeRequest.ReturnValue' the value '1'. Previous value was '1'.
0,MyVehicle1[1],MyVehicle1[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MyVehicle1[1].OnEvaluatingRiderAtPickup.Enabled' the value '1'. Previous value was '1'.
0,MyVehicle1[1],MyVehicle1[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MyVehicle1[1].OnEvaluatingRiderAtPickup.ReturnValue' the value '1'. Previous value was '1'.
0,MyVehicle1[1],MyVehicle1[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MyVehicle1[1].HomeNode' the value 'Output@Source1'. Previous value was 'Nothing'.
0,MyVehicle1[1],MyVehicle1[1],0.OnCreated,[End],Process 'MyVehicle1[1].OnCreated' execution ended.
0,MyVehicle1[1],MyVehicle1[1],0.OnRunInitialized,[Begin],Process 'MyVehicle1[1].OnRunInitialized' execution started.
0,MyVehicle1[1],MyVehicle1[1],0.OnRunInitialized,[Park] AtInitialNode,Entity 'MyVehicle1[1]' transferring from '[FreeSpace] Model2' into station 'Output@Source1.ParkingStation'.
0,MyVehicle1[1],Output@Source1,1.OnEnteredParking,[Begin],Process 'Output@Source1.OnEnteredParking' execution started.
0,MyVehicle1[1],Output@Source1,1.OnEnteredParking,[EndTransfer] EndTransfer,Entity 'MyVehicle1[1]' ending transfer into station 'Output@Source1.ParkingStation'.
0,MyVehicle1[1],Output@Source1,1.OnEnteredParking,[End],Process 'Output@Source1.OnEnteredParking' execution ended.
0,MyVehicle1[1],MyVehicle1[1],0.OnRunInitialized,[Decide] IfOnShift,Token branching on condition 'ResourceState!=List.ResourceStateName.OffShift'.
0,MyVehicle1[1],MyVehicle1[1],0.OnRunInitialized,[Decide] IfOnShift,Token sent to 'True' exit.
0,MyVehicle1[1],MyVehicle1[1],0.OnRunInitialized,[PlanVisit] InitialMoveOrTransportRequests,Entity 'MyVehicle1[1]' searching 'Model2.Global.VisitRequestQueue' which contains '0' request(s).
0,MyVehicle1[1],MyVehicle1[1],0.OnRunInitialized,[PlanVisit] InitialMoveOrTransportRequests,Entity 'MyVehicle1[1]' failed to find and plan an eligible visit request.
0,MyVehicle1[1],MyVehicle1[1],0.OnRunInitialized,[End],Process 'MyVehicle1[1].OnRunInitialized' execution ended.
0.0059722222222222,MyVehicle1[1],MyVehicle1[1],0.Process1,[Begin],Process 'MyVehicle1[1].Process1' execution started.
