Time(Hours),EntityID,ObjectName,ProcessID,StepName,Action
0,--,--,--,--,System initialization completed.
0,--,--,--,--,Created object 'MyVehicle1[1]'.
0,MyVehicle1[1],MyVehicle1[1],0.OnCreated,[Begin],Process 'MyVehicle1[1].OnCreated' execution started.
0,MyVehicle1[1],MyVehicle1[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MyVehicle1[1].OnEvaluatingRiderReservation.Enabled' the value '1'. Previous value was '1'.
0,MyVehicle1[1],MyVehicle1[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MyVehicle1[1].OnEvaluatingRiderReservation.ReturnValue' the value '1'. Previous value was '1'.
0,MyVehicle1[1],MyVehicle1[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MyVehicle1[1].OnEvaluatingSeizeRequest.Enabled' the value '1'. Previous value was '1'.
0,MyVehicle1[1],MyVehicle1[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MyVehicle1[1].OnEvaluatingSeizeRequest.ReturnValue' the value '1'. Previous value was '1'.
0,MyVehicle1[1],MyVehicle1[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MyVehicle1[1].OnEvaluatingRiderAtPickup.Enabled' the value '1'. Previous value was '1'.
0,MyVehicle1[1],MyVehicle1[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MyVehicle1[1].OnEvaluatingRiderAtPickup.ReturnValue' the value '1'. Previous value was '1'.
0,MyVehicle1[1],MyVehicle1[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MyVehicle1[1].HomeNode' the value 'Home'. Previous value was 'Nothing'.
0,MyVehicle1[1],MyVehicle1[1],0.OnCreated,[End],Process 'MyVehicle1[1].OnCreated' execution ended.
0,MyVehicle1[1],MyVehicle1[1],0.OnRunInitialized,[Begin],Process 'MyVehicle1[1].OnRunInitialized' execution started.
0,MyVehicle1[1],MyVehicle1[1],0.OnRunInitialized,[Park] AtInitialNode,Entity 'MyVehicle1[1]' transferring from '[FreeSpace] Model' into station 'Home.ParkingStation'.
0,MyVehicle1[1],Home,1.OnEnteredParking,[Begin],Process 'Home.OnEnteredParking' execution started.
0,MyVehicle1[1],Home,1.OnEnteredParking,[EndTransfer] EndTransfer,Entity 'MyVehicle1[1]' ending transfer into station 'Home.ParkingStation'.
0,MyVehicle1[1],Home,1.OnEnteredParking,[End],Process 'Home.OnEnteredParking' execution ended.
0,MyVehicle1[1],MyVehicle1[1],0.OnRunInitialized,[Decide] IfOnShift,Token branching on condition 'ResourceState!=List.ResourceStateName.OffShift'.
0,MyVehicle1[1],MyVehicle1[1],0.OnRunInitialized,[Decide] IfOnShift,Token sent to 'True' exit.
0,MyVehicle1[1],MyVehicle1[1],0.OnRunInitialized,[PlanVisit] InitialMoveOrTransportRequests,Entity 'MyVehicle1[1]' searching 'Model.Global.VisitRequestQueue' which contains '0' request(s).
0,MyVehicle1[1],MyVehicle1[1],0.OnRunInitialized,[PlanVisit] InitialMoveOrTransportRequests,Entity 'MyVehicle1[1]' failed to find and plan an eligible visit request.
0,MyVehicle1[1],MyVehicle1[1],0.OnRunInitialized,[End],Process 'MyVehicle1[1].OnRunInitialized' execution ended.
0,--,--,--,--,Firing event 'OrderSource.EntityArrivals.Event'.
0,OrderSource,OrderSource,0.OnEntityArrival,[Begin],Process 'OrderSource.OnEntityArrival' execution started.
0,OrderSource,OrderSource,0.OnEntityArrival,[Create] Entities,Creating '1' new object(s) of entity type 'Order'.
0,OrderSource,OrderSource,0.OnEntityArrival,[Create] Entities,Created object 'Order.24'.
0,Order.24,OrderSource,1.OnEntityArrival,[Transfer] ToProcessing,Entity 'Order.24' transferring from '[FreeSpace] OrderSource' into station 'OrderSource.Processing'.
0,OrderSource,OrderSource,0.OnEntityArrival,[End],Process 'OrderSource.OnEntityArrival' execution ended.
0,Order.24,OrderSource,2.OnEnteredProcessing,[Begin],Process 'OrderSource.OnEnteredProcessing' execution started.
0,Order.24,OrderSource,2.OnEnteredProcessing,[EndTransfer] IntoProcessing,Entity 'Order.24' ending transfer into station 'OrderSource.Processing'.
0,Order.24,OrderSource,2.OnEnteredProcessing,[Transfer] ToOutputBuffer,Entity 'Order.24' transferring from '[Station] OrderSource.Processing' into station 'OrderSource.OutputBuffer'.
0,Order.24,OrderSource,1.OnEntityArrival,[End],Process 'OrderSource.OnEntityArrival' execution ended.
0,Order.24,OrderSource,0.OnEnteredOutputBuffer,[Begin],Process 'OrderSource.OnEnteredOutputBuffer' execution started.
0,Order.24,OrderSource,0.OnEnteredOutputBuffer,[EndTransfer] IntoOutputBuffer,Entity 'Order.24' ending transfer into station 'OrderSource.OutputBuffer'.
0,Order.24,OrderSource,0.OnEnteredOutputBuffer,[Transfer] ToOutputNode,Entity 'Order.24' transferring from '[Station] OrderSource.OutputBuffer' into node 'Output@OrderSource'.
0,Order.24,Output@OrderSource,1.OnEnteredFromAssociatedObject,[Begin],Process 'Output@OrderSource.OnEnteredFromAssociatedObject' execution started.
0,Order.24,Output@OrderSource,1.OnEnteredFromAssociatedObject,[Fire] EnteredEvent,Firing event 'Output@OrderSource.Entered'.
0,Order.24,Output@OrderSource,1.OnEnteredFromAssociatedObject,[Execute] EnteredAddOnProcess,Executing process 'AssignValuesAfterCreated'.
0,Order.24,Model,3.AssignValuesAfterCreated,[Begin],Process 'AssignValuesAfterCreated' execution started.
0,Order.24,Model,3.AssignValuesAfterCreated,[Assign] Assign2,Assigning state variable 'Order.24.Picture' the value '0'. Previous value was '0'.
0,Order.24,Model,3.AssignValuesAfterCreated,[Assign] Assign2,Assigning state variable 'Order.24.EntityCountInWave' the value '4'. Previous value was '0'.
0,Order.24,Model,3.AssignValuesAfterCreated,[Assign] Assign2,Assigning state variable 'Order.24.Priority' the value '0'. Previous value was '1'.
0,Order.24,Model,3.AssignValuesAfterCreated,[End],Process 'AssignValuesAfterCreated' execution ended.
0,Order.24,Output@OrderSource,1.OnEnteredFromAssociatedObject,[Decide] IfTransporter,Token branching on condition 'Entity.Is.Transporter'.
0,Order.24,Output@OrderSource,1.OnEnteredFromAssociatedObject,[Decide] IfTransporter,Token sent to 'False' exit.
0,Order.24,Output@OrderSource,1.OnEnteredFromAssociatedObject,[Execute] RoutingOutLogic,Executing process 'Output@OrderSource.RoutingOutLogic'.
