Time(Hours),EntityID,ObjectName,ProcessID,StepName,Action
0,--,--,--,--,System initialization completed.
0,--,--,--,--,Created object 'MainCars[1]'.
0,MainCars[1],MainCars[1],0.OnCreated,[Begin],Process 'MainCars[1].OnCreated' execution started.
0,MainCars[1],MainCars[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MainCars[1].OnEvaluatingRiderReservation.Enabled' the value '1'. Previous value was '1'.
0,MainCars[1],MainCars[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MainCars[1].OnEvaluatingRiderReservation.ReturnValue' the value '1'. Previous value was '1'.
0,MainCars[1],MainCars[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MainCars[1].OnEvaluatingSeizeRequest.Enabled' the value '1'. Previous value was '1'.
0,MainCars[1],MainCars[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MainCars[1].OnEvaluatingSeizeRequest.ReturnValue' the value '1'. Previous value was '1'.
0,MainCars[1],MainCars[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MainCars[1].OnEvaluatingRiderAtPickup.Enabled' the value '1'. Previous value was '1'.
0,MainCars[1],MainCars[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MainCars[1].OnEvaluatingRiderAtPickup.ReturnValue' the value '1'. Previous value was '1'.
0,MainCars[1],MainCars[1],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MainCars[1].HomeNode' the value 'Home'. Previous value was 'Nothing'.
0,MainCars[1],MainCars[1],0.OnCreated,[End],Process 'MainCars[1].OnCreated' execution ended.
0,--,--,--,--,Created object 'MainCars[2]'.
0,MainCars[2],MainCars[2],0.OnCreated,[Begin],Process 'MainCars[2].OnCreated' execution started.
0,MainCars[2],MainCars[2],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MainCars[2].OnEvaluatingRiderReservation.Enabled' the value '1'. Previous value was '1'.
0,MainCars[2],MainCars[2],0.OnCreated,[Assign] OnCreatedAssignments,Assigning state variable 'MainCars[2].OnEvaluatingRiderReservation.ReturnValue' the value '1'. Previous value was '1'.
